Predictor,Response,Treatment
8.9744,11.4663,A
12.0513,19.5433,A
10,24.9279,A
17.1795,36.0817,A
23.8462,44.9279,A
20.7692,51.0817,A
15.1282,57.6202,A
13.8462,48.0048,A
25.641,61.0817,A
28.2051,54.1587,A
34.8718,64.9279,A
39.2308,76.851,A
50.7692,70.6971,A
61.5385,68.0048,A
67.9487,73.3894,A
70.7692,79.9279,A
80,80.3125,A
55.1282,80.3125,A
44.8718,78.774,A
43.0769,70.3125,A
32.8205,75.3125,A
28.7179,81.0817,A
22.5641,72.2356,A
17.9487,70.6971,A
20.7692,64.9279,A
30.5128,70.3125,A
26.9231,77.6202,A
24.1026,79.9279,A
27.9487,68.0048,A
36.9231,83.774,A
45.8974,84.5433,A
13.5897,64.9279,B
16.9231,71.0817,B
32.3077,69.9279,B
28.9744,70.6971,B
30.5128,81.851,B
40.5128,79.1587,B
56.4103,79.9279,B
55.8974,74.1587,B
21.5385,61.4663,B
21.5385,75.3125,B
69.2308,79.9279,B
86.9231,83.774,B
